OTU_ID	S1	S2	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
SH207017.07FU_HQ166445_reps	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
SH025754.07FU_AY761177_reps_singleton	1	1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae	-	-	-	-	-	-	-	Unassigned	-
SH127903.07FU_DQ780343_refs	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__Cladosporium sphaerospermum	-	-	-	-	-	-	-	Unassigned	-
SH199051.07FU_JQ070517_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	-	-	-	-	-	-	-	Unassigned	-
SH023317.07FU_FR682161_reps_singleton	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__Chaetothyriales sp	-	-	-	-	-	-	-	Unassigned	-
SH020703.07FU_GU174404_reps_singleton	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
SH027277.07FU_AF163057_reps_singleton	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	-	-	-	-	-	-	-	Unassigned	-
SH192618.07FU_KF309979_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
SH030538.07FU_JN053143_reps_singleton	1	1	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__fungal sp agrD392	-	-	-	-	-	-	-	Unassigned	-
SH214163.07FU_AY128701_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
SH198663.07FU_JX978239_reps	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
SH200709.07FU_EU343244_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
SH208968.07FU_KC951240_reps	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
SH018491.07FU_JN053173_reps_singleton	1	1	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__fungal sp agrD488	-	-	-	-	-	-	-	Unassigned	-
SH214176.07FU_AM901715_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
SH184176.07FU_GU909656_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__unidentified;s__Sporormiaceae sp	-	-	-	-	-	-	-	Unassigned	-
SH184178.07FU_GU909953_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__unidentified	-	-	-	-	-	-	-	Unassigned	-
SH184177.07FU_FJ210521_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__unidentified;s__Sporormiaceae sp	-	-	-	-	-	-	-	Unassigned	-
SH219835.07FU_AY843135_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae sp	-	-	-	-	-	-	-	Unassigned	-
SH182917.07FU_KF251268_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__Phaeosphaeriaceae sp	-	-	-	-	-	-	-	Unassigned	-
SH200882.07FU_AY347316_reps	1	1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales	-	-	-	-	-	-	-	Unassigned	-
SH199058.07FU_JX981477_reps	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	-	-	-	-	-	-	-	Unassigned	-
SH006502.07FU_FN868467_reps_singleton	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__Leotiomycetes sp BLD3	-	-	-	-	-	-	-	Unassigned	-
SH213825.07FU_AY843147_reps	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
