OTU_ID	S1	S2	Taxonomy
338aeb960fe16e7ea91e3f843f68b775d282c2fd_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
7912222fd957926ab050d76c323d9939e4581d9e_89	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__Leotiomycetes sp BLD3
9e5e919f618edba2067dd4914ce52817b9d21504_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phaeomoniella
7b99818901f4a32c0d9ac7b756d636bb6db531ee_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
8939359ed6d6af2d277b54d18dd0c24242e2e704_8	1	1	k__Fungi;p__Ascomycota
f87f9778ba778c774de391519b06a1b936fe9d4e_19	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes
360b4ccb97dd3c22d262c7e41d9e98f093ab671f_1	1	1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium
a9e71001a2e212295ac2936852c614f5751af88a_26	1	1	k__Fungi;p__Ascomycota
22771c87067f5a5c00cfee2fd8ca7d215d4cc94d_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
48e308bfc10b82ccb7b698c0c0ac586d6f1c85a4_154	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
4aa8f77f5f55bf8639755ad47074210ebfdafbc0_2	1	1	k__Fungi;p__Ascomycota
bc376f41b64d310a9674a6ed408f10864337b891_14	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae
40addb9c317a4f37dda5e7c131cdbc7d4329052f_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus
