"","Source","Target","Weight","Weight(Log10(1+x)100))","type"
"CA Ghisoni","CA Ghisoni","71","31","150.51","Undirected"
"CB Rospa_sorba","CB Rospa_sorba","71","1","30.1","Undirected"
"DA Ghisoni","DA Ghisoni","71","1","30.1","Undirected"
"DB Ghisoni","DB Ghisoni","71","53","173.24","Undirected"
"SB Restonica","SB Restonica","71","1","30.1","Undirected"
"CA Ghisoni","CA Ghisoni","74","2","47.71","Undirected"
"CB Ghisoni","CB Ghisoni","74","14","117.61","Undirected"
"DA Ghisoni","DA Ghisoni","74","2","47.71","Undirected"
"DB Ghisoni","DB Ghisoni","74","8","95.42","Undirected"
"DB Restonica","DB Restonica","74","415","261.91","Undirected"
"SA Ghisoni","SA Ghisoni","74","98","199.56","Undirected"
"SB Ghisoni","SB Ghisoni","74","3","60.21","Undirected"
"CA Ghisoni","CA Ghisoni","76","18","127.88","Undirected"
"CB Ghisoni","CB Ghisoni","76","9","100","Undirected"
"DB Ghisoni","DB Ghisoni","76","4","69.9","Undirected"
"DB Restonica","DB Restonica","76","11","107.92","Undirected"
"DB Rospa_sorba","DB Rospa_sorba","76","2","47.71","Undirected"
"SA Restonica","SA Restonica","76","1704","323.17","Undirected"
"CA Ghisoni","CA Ghisoni","100","1355","313.23","Undirected"
"CA Rospa_sorba","CA Rospa_sorba","100","2","47.71","Undirected"
"CB Ghisoni","CB Ghisoni","100","1779","325.04","Undirected"
"CB Rospa_sorba","CB Rospa_sorba","100","39","160.21","Undirected"
"DA Ghisoni","DA Ghisoni","100","1","30.1","Undirected"
"DA Rospa_sorba","DA Rospa_sorba","100","2","47.71","Undirected"
"DB Restonica","DB Restonica","100","1","30.1","Undirected"
"DB Rospa_sorba","DB Rospa_sorba","100","1","30.1","Undirected"
"SA Ghisoni","SA Ghisoni","100","14","117.61","Undirected"
"SA Restonica","SA Restonica","100","1","30.1","Undirected"
"SA Rospa_sorba","SA Rospa_sorba","100","14","117.61","Undirected"
"SB Ghisoni","SB Ghisoni","100","1219","308.64","Undirected"
"CA Ghisoni","CA Ghisoni","117","1781","325.09","Undirected"
"CB Ghisoni","CB Ghisoni","117","1549","319.03","Undirected"
"CB Rospa_sorba","CB Rospa_sorba","117","1","30.1","Undirected"
"SB Restonica","SB Restonica","117","3","60.21","Undirected"
"CA Ghisoni","CA Ghisoni","118","13","114.61","Undirected"
"CA Rospa_sorba","CA Rospa_sorba","118","3","60.21","Undirected"
"CB Ghisoni","CB Ghisoni","118","569","275.59","Undirected"
"CB Rospa_sorba","CB Rospa_sorba","118","47","168.12","Undirected"
"DB Restonica","DB Restonica","118","6","84.51","Undirected"
"DB Rospa_sorba","DB Rospa_sorba","118","5","77.82","Undirected"
"SA Ghisoni","SA Ghisoni","118","37","157.98","Undirected"
"SA Rospa_sorba","SA Rospa_sorba","118","38","159.11","Undirected"
"SB Ghisoni","SB Ghisoni","118","173","224.05","Undirected"
"SB Restonica","SB Restonica","118","1","30.1","Undirected"
"CA Ghisoni","CA Ghisoni","122","283","245.33","Undirected"
"CB Ghisoni","CB Ghisoni","122","774","288.93","Undirected"
"CB Rospa_sorba","CB Rospa_sorba","122","47","168.12","Undirected"
"DA Ghisoni","DA Ghisoni","122","1622","321.03","Undirected"
"DA Restonica","DA Restonica","122","156","219.59","Undirected"
"DA Rospa_sorba","DA Rospa_sorba","122","80","190.85","Undirected"
"DB Ghisoni","DB Ghisoni","122","3009","347.86","Undirected"
"DB Restonica","DB Restonica","122","39","160.21","Undirected"
