CODE	#SampleID	Sites	Age	Elevation	Tree
AJ1B	A1	Asco	Young	Bottom	1
AJ1Bbis	A1	Asco	Young	Bottom	1
AM1B	A10	Asco	Mature	Bottom	1
AM1M	A11	Asco	Mature	Middle	1
AM1H	A12	Asco	Mature	Top	1
AJ1M	A2	Asco	Young	Middle	1
AJ1H	A3	Asco	Young	Top	1
AJ2B	A4	Asco	Young	Bottom	2
AJ2M	A5	Asco	Young	Middle	2
AJ2H	A6	Asco	Young	Top	2
AJ3B	A7	Asco	Young	Bottom	3
AJ3M	A8	Asco	Young	Middle	3
AJ3H	A9	Asco	Young	Top	3
AM2B	B1	Asco	Mature	Bottom	2
AA2B	B10	Asco	Old	Bottom	2
AA2M	B11	Asco	Old	Middle	2
AA2H	B12	Asco	Old	Top	2
AM2M	B2	Asco	Mature	Middle	2
AM2H	B3	Asco	Mature	Top	2
AM3B	B4	Asco	Mature	Bottom	3
AM3M	B5	Asco	Mature	Middle	3
AM3H	B6	Asco	Mature	Top	3
AA1B	B7	Asco	Old	Bottom	1
AA1M	B8	Asco	Old	Middle	1
AA1H	B9	Asco	Old	Top	1
AA3B	C1	Asco	Old	Bottom	3
VJ3B	C10	Verghello	Young	Bottom	3
VJ3M	C11	Verghello	Young	Middle	3
VJ3H	C12	Verghello	Young	Top	3
AA3M	C2	Asco	Old	Middle	3
AA3H	C3	Asco	Old	Top	3
VJ1B	C4	Verghello	Young	Bottom	1
VJ1M	C5	Verghello	Young	Middle	1
VJ1H	C6	Verghello	Young	Top	1
VJ2B	C7	Verghello	Young	Bottom	2
VJ2M	C8	Verghello	Young	Middle	2
VJ2H	C9	Verghello	Young	Top	2
VM1B	D1	Verghello	Young	Bottom	1
VA1B	D10	Verghello	Old	Bottom	1
VA1M	D11	Verghello	Old	Middle	1
VA1H	D12	Verghello	Old	Top	1
VM1M	D2	Verghello	Mature	Middle	1
VM1H	D3	Verghello	Mature	Top	1
VM2B	D4	Verghello	Mature	Bottom	2
VM2M	D5	Verghello	Mature	Middle	2
VM2H	D6	Verghello	Mature	Top	2
VM3M	D8	Verghello	Mature	Middle	3
VM3H	D9	Verghello	Mature	Top	3
VA2B	E1	Verghello	Old	Bottom	2
BAJ2B	E10	Bavella	Young	Bottom	2
BAJ2M	E11	Bavella	Young	Middle	2
BAJ2H	E12	Bavella	Young	Top	2
VA2M	E2	Verghello	Old	Middle	2
VA2H	E3	Verghello	Old	Top	2
VA3B	E4	Verghello	Old	Bottom	3
VA3M	E5	Verghello	Old	Middle	3
VA3H	E6	Verghello	Old	Top	3
BAJ1B	E7	Bavella	Young	Bottom	1
BAJ1M	E8	Bavella	Young	Middle	1
BAJ1H	E9	Bavella	Young	Top	1
BAJ3B	F1	Bavella	Young	Bottom	3
BAM3B	F10	Bavella	Mature	Bottom	3
BAM3M	F11	Bavella	Mature	Middle	3
BAM3H	F12	Bavella	Mature	Top	3
BAJ3M	F2	Bavella	Young	Middle	3
BAJ3H	F3	Bavella	Young	Top	3
BAM1B	F4	Bavella	Mature	Bottom	1
BAM1M	F5	Bavella	Mature	Middle	1
BAM1H	F6	Bavella	Mature	Top	1
BAM2B	F7	Bavella	Mature	Bottom	2
BAM2M	F8	Bavella	Mature	Middle	2
BAM2H	F9	Bavella	Mature	Top	2
BAA1B	G1	Bavella	Old	Bottom	1
BAA1M	G2	Bavella	Old	Middle	1
BAA1H	G3	Bavella	Old	Top	1
BAA2B	G4	Bavella	Old	Bottom	2
BAA2M	G5	Bavella	Old	Middle	2
BAA2H	G6	Bavella	Old	Top	2
BAA3B	G7	Bavella	Old	Bottom	3
BAA3M	G8	Bavella	Old	Middle	3
BAA3H	G9	Bavella	Old	Top	3
